STATION,NAME,DATE,DAPR,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/18/2000,,,,0,0,0,41,22,26
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/19/2000,,,,0,0,0,39,15,18
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/20/2000,,,,0,0,0,43,16,22
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/21/2000,,,,0,0,0,47,20,41
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/22/2000,,,,0.26,0,0,55,34,36
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/23/2000,,,,0,0,0,51,30,37
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/24/2000,,,,0.14,0.3,0,47,26,28
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/25/2000,,,,0.06,1,1,31,21,23
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/26/2000,,,,0,0,0,39,20,28
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/27/2000,,,,0,0,0,38,25,31
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/28/2000,,,,0,0,0,45,25,34
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/29/2000,,,,0,0,0,47,23,29
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/1/2000,,,,0.04,0,0,49,26,34
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/2/2000,,,,0.02,0,0,43,21,27
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/3/2000,,,,0,0,0,48,22,27
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/4/2000,,,,0,0,0,51,21,26
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/5/2000,,,,0,0,0,59,30,34
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/6/2000,,,,0,0,0,57,26,35
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/7/2000,,,,0,0,0,54,19,29
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/8/2000,,,,0,0,0,45,23,31
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/9/2000,,,,0.05,0.5,1,40,27,32
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/10/2000,,,,0,0,0,43,25,31
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/11/2000,,,,0,0,0,44,22,37
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/12/2000,,,,0,0,0,58,19,28
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/13/2000,,,,0,0,0,46,19,24
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/14/2000,,,,0.01,0,0,53,22,41
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/15/2000,,,,0.02,0.3,0,54,25,28
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/16/2000,,,,0,0,0,47,15,25
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/17/2000,,,,0.06,0,0,52,22,29
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/18/2000,,,,0,0,0,40,19,28
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/19/2000,,,,0.25,0,0,50,20,37
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/20/2000,,,,0.15,0,0,42,15,20
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/21/2000,,,,0,0,0,41,14,19
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/22/2000,,,,0,0,0,47,18,24
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/23/2000,,,,0,0,0,57,22,28
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/24/2000,,,,0,0,0,48,15,19
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/25/2000,,,,0,0,0,53,18,30
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/26/2000,,,,0,0,0,64,28,39
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/27/2000,,,,0,0,0,62,21,34
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/28/2000,,,,0,0,0,68,32,40
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/29/2000,,,,0,0,0,49,22,29
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/30/2000,,,,0,0,0,50,19,29
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",3/31/2000,,,,0,0,0,53,15,28
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/1/2000,,,,0,0,0,55,16,27
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/2/2000,,,,0,0,0,60,26,39
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/3/2000,,,,0,0,0,55,20,23
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/4/2000,,,,0,0,0,61,21,32
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/5/2000,,,,0,0,0,74,36,42
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/6/2000,,,,0,0,0,62,34,39
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/7/2000,,,,0,0,0,58,17,22
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/8/2000,,,,0,0,0,54,18,26
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/9/2000,,,,0,0,0,68,24,44
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/10/2000,,,,0,0,0,59,33,34
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/11/2000,,,,0,0,0,65,28,32
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/12/2000,,,,0,0,0,70,30,38
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/13/2000,,,,0,0,0,75,36,40
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/14/2000,,,,0.09,0,0,71,34,40
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/15/2000,,,,0.12,0,0,56,35,38
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/16/2000,,,,0,0,0,61,30,36
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/17/2000,,,,0,0,0,62,34,42
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/18/2000,,,,0,0,0,68,45,48
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/19/2000,,,,0.21,0,0,56,39,42
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/20/2000,,,,0,0,0,58,34,37
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/21/2000,,,,0,0,0,67,38,41
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/22/2000,,,,0,0,0,76,42,45
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/23/2000,,,,0,0,0,68,39,42
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/24/2000,,,,0,0,0,58,33,36
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/25/2000,,,,0,0,0,56,29,34
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/26/2000,,,,0,0,0,68,32,39
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/27/2000,,,,0,0,0,66,31,41
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/28/2000,,,,0,0,0,83,39,56
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/29/2000,,,,0,0,0,65,31,39
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",4/30/2000,,,,0,0,0,58,26,30
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/1/2000,,,,0,0,0,67,28,40
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/2/2000,,,,0,0,0,79,39,52
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/3/2000,,,,0,0,0,71,30,41
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/4/2000,,,,0,0,0,81,39,53
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/5/2000,,,,0,0,0,73,44,49
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/6/2000,,,,0,0,0,56,33,40
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/7/2000,,,,0.43,0,0,58,38,38
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/8/2000,,,,0.16,0,0,53,32,41
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/9/2000,,,,0.03,0,0,60,35,45
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/10/2000,,,,0,0,0,63,36,45
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/11/2000,,,,0,0,0,60,28,35
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/12/2000,,,,0,0,0,50,27,35
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/13/2000,,,,0,0,0,56,29,41
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/14/2000,,,,0,0,0,71,35,43
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/15/2000,,,,0,0,0,76,39,47
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/16/2000,,,,0,0,0,73,42,55
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/17/2000,,,,0.01,0,0,69,33,46
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/18/2000,,,,0.25,0,0,62,35,45
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/19/2000,,,,0,0,0,69,38,48
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/20/2000,,,,0,0,0,73,35,47
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/21/2000,,,,0,0,0,75,43,57
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/22/2000,,,,0,0,0,80,48,57
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/23/2000,,,,0,0,0,80,52,53
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/24/2000,,,,0,0,0,75,46,52
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/25/2000,,,,0,0,0,78,47,52
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/26/2000,,,,0.08,0,0,73,43,48
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/27/2000,,,,0,0,0,69,37,45
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/28/2000,,,,0,0,0,81,45,58
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/29/2000,,,,0,0,0,78,49,53
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/30/2000,,,,0,0,0,75,45,48
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",5/31/2000,,,,0,0,0,79,40,44
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/1/2000,,,,0,0,0,61,32,43
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/2/2000,,,,0,0,0,73,39,52
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/3/2000,,,,0,0,0,87,45,58
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/4/2000,,,,0,0,0,83,45,52
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/5/2000,,,,0,0,0,85,40,56
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/6/2000,,,,0,0,0,91,47,61
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/7/2000,,,,0,0,0,88,44,57
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/8/2000,,,,0,0,0,92,45,73
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/9/2000,,,,0,0,0,76,44,49
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/10/2000,,,,0,0,0,67,38,48
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/11/2000,,,,0.02,0,0,72,41,49
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/12/2000,,,,0,0,0,76,45,58
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/13/2000,,,,0,0,0,55,44,54
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/14/2000,,,,0,0,0,73,44,59
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/15/2000,,,,0,0,0,82,52,60
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/16/2000,,,,0,0,0,75,38,52
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/17/2000,,,,0,0,0,70,33,49
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/18/2000,,,,0,0,0,78,36,55
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/19/2000,,,,0,0,0,86,50,54
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/20/2000,,,,0,0,0,70,35,45
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/21/2000,,,,0,0,0,73,38,54
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/22/2000,,,,0,0,0,84,42,55
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/23/2000,,,,0,0,0,89,53,65
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/24/2000,,,,0,0,0,86,50,63
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/25/2000,,,,0,0,0,83,45,60
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/26/2000,,,,0,0,0,79,41,55
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/27/2000,,,,0,0,0,83,44,58
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/28/2000,,,,0,0,0,81,42,54
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/29/2000,,,,0,0,0,86,43,53
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",6/30/2000,,,,0,0,0,85,42,56
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/1/2000,,,,0,0,0,93,48,60
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/2/2000,,,,0,0,0,86,47,57
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/3/2000,,,,0,0,0,85,47,61
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/4/2000,,,,0,0,0,80,44,50
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/5/2000,,,,0,0,0,77,38,52
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/6/2000,,,,0,0,0,86,48,58
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/7/2000,,,,0,0,0,82,42,58
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/8/2000,,,,0,0,0,89,42,60
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/9/2000,,,,0,0,0,90,52,59
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/10/2000,,,,0,0,0,87,49,59
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/11/2000,,,,0,0,0,78,41,60
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/12/2000,,,,0,0,0,90,44,65
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/13/2000,,,,0,0,0,97,42,68
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/14/2000,,,,0,0,0,96,44,66
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/15/2000,,,,0,0,0,96,44,66
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/16/2000,,,,0,0,0,90,53,71
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/17/2000,,,,0,0,0,91,52,76
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/18/2000,,,,0.03,0,0,85,45,63
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/19/2000,,,,0,0,0,84,43,55
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/20/2000,,,,0,0,0,88,45,57
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/21/2000,,,,0,0,0,89,44,59
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/22/2000,,,,0,0,0,91,50,55
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/23/2000,,,,0,0,0,99,50,65
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/24/2000,,,,0,0,0,92,46,55
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/25/2000,,,,0,0,0,91,44,52
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/26/2000,,,,0,0,0,93,47,52
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/27/2000,,,,0.09,0,0,90,52,57
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/28/2000,,,,0,0,0,94,46,50
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/29/2000,,,,0,0,0,97,46,51
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/30/2000,,,,0,0,0,99,47,52
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",7/31/2000,,,,0,0,0,102,49,56
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/1/2000,,,,0,0,0,102,51,59
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/2/2000,,,,0,0,0,96,54,73
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/3/2000,,,,0,0,0,95,59,67
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/4/2000,,,,0.02,0,0,94,52,62
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/5/2000,,,,0,0,0,90,47,58
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/6/2000,,,,0,0,0,89,44,54
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/7/2000,,,,0,0,0,92,47,54
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/8/2000,,,,0,0,0,93,47,62
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/9/2000,,,,0,0,0,97,51,60
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/10/2000,,,,0,0,0,97,58,65
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/11/2000,,,,0,0,0,97,55,61
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/12/2000,,,,0,0,0,83,37,54
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/13/2000,,,,0,0,0,93,40,49
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/14/2000,,,,0,0,0,90,40,47
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/15/2000,,,,0,0,0,93,42,56
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/16/2000,,,,0,0,0,93,47,55
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/17/2000,,,,0,0,0,90,40,53
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/18/2000,,,,0,0,0,89,45,65
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/19/2000,,,,0.03,0,0,87,39,56
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/20/2000,,,,0,0,0,84,48,57
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/21/2000,,,,0,0,0,79,40,53
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/22/2000,,,,0,0,0,82,36,44
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/23/2000,,,,0,0,0,91,41,55
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/24/2000,,,,0.01,0,0,92,52,58
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/25/2000,,,,0,0,0,91,46,53
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/26/2000,,,,0,0,0,91,48,53
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/27/2000,,,,0,0,0,88,45,58
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/28/2000,,,,0,0,0,88,47,55
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/29/2000,,,,0,0,0,84,45,47
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/30/2000,,,,0,0,0,90,45,63
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",8/31/2000,,,,0,0,0,77,42,46
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/1/2000,,,,0.2,0,0,74,44,51
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/2/2000,,,,0.45,0,0,73,37,53
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/3/2000,,,,0.1,0,0,64,34,43
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/4/2000,,,,0,0,0,74,38,47
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/5/2000,,,,0,0,0,81,42,45
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/6/2000,,,,0.01,0,0,70,42,45
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/7/2000,,,,0,0,0,66,29,38
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/8/2000,,,,0,0,0,78,31,44
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/9/2000,,,,0,0,0,81,40,44
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/10/2000,,,,0,0,0,66,31,43
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/11/2000,,,,0,0,0,80,38,49
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/12/2000,,,,0,0,0,75,39,45
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/13/2000,,,,0,0,0,83,42,50
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/14/2000,,,,0,0,0,89,41,53
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/15/2000,,,,0,0,0,93,40,53
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/16/2000,,,,0,0,0,94,41,45
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/17/2000,,,,0,0,0,92,46,54
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/18/2000,,,,0,0,0,83,44,52
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/19/2000,,,,0,0,0,80,49,54
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",9/20/2000,,,,0,0,0,77,32,41
